"분류번호","측정소명","년/월/일","회차","경도","위도","채수시각","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","SS(㎎/L)"
"3301A51","익산천1","2022/01/15","1회차","127°2'6.9""","35°55'29.7""","10:47","14.7","1.5","4.1","5.160","0.100","2.0","8.8"
"3301A52","익산천2","2022/01/16","1회차","127°1'57.9""","35°55'8.8""","10:43","14.6","1.6","4.7","5.884","0.112","2.7","6.3"
"3001A10","가막","2022/01/17","1회차","127°31'4.1""","35°48'7.6""","12:00","14.9","0.4","2.8","4.331","0.008","1.6","1.4"
"3001A05","구량천","2022/01/17","1회차","127°36'53.72""","35°52'.65""","10:40","14.8","1.1","2.7","3.225","0.010","1.2","0.8"
"3005A25","금상천","2022/01/17","1회차","127°51'28.26""","36°15'20.36""","11:10","14.5","0.4","2.5","2.183","0.006","1.0","0.4"
"3003A30","무주남대천3","2022/01/17","1회차","127°37'12.64""","36°0'9.1""","11:10","14.7","0.8","3.1","2.972","0.010","1.4","0.5"
"3007A40","보청천3","2022/01/17","1회차","127°49'4.7""","36°22'36.72""","12:00","15.4","0.3","2.6","2.574","0.010","1.6","0.7"
"3004A05","부리","2022/01/17","1회차","127°35'36.86""","36°2'56.1""","10:20","13.2","0.2","3.5","1.411","0.007","2.1","0.9"
"3008A02","상곡천","2022/01/17","1회차","127°34'3.84""","36°13'11.72""","12:40","14.0","0.4","1.7","2.952","0.011","0.6","0.2"
"3002A40","용담","2022/01/17","1회차","127°32'7.38""","35°58'14.91""","12:00","12.6","0.2","3.2","1.234","0.006","2.2","0.5"
"3006A05","이원","2022/01/17","1회차","127°40'10.1""","36°14'25""","10:00","16.2","0.3","3.4","1.905","0.008","2.0","0.7"
"3301A53","익산천3","2022/01/17","1회차","127°1'47.6""","35°54'9.2""","10:34","13.8","1.6","4.3","5.376","0.089","2.3","6.7"
"3001A30","정자천","2022/01/17","1회차","127°26'24.81""","35°51'22.74""","11:10","14.6","0.3","2.2","2.396","0.004","0.8","0.5"
"3004A40","제원2","2022/01/17","1회차","127°35'21.55""","36°6'59.03""","11:50","16.4","0.3","3.2","1.613","0.006","2.1","0.9"
"3005A30","초강2","2022/01/17","1회차","127°43'17.6""","36°13'49""","10:50","16.5","0.4","3.0","2.521","0.008","1.6","4.1"
"3008A05","추풍천","2022/01/17","1회차","127°30'35.24""","36°14'21.29""","14:00","16.0","0.4","2.5","4.954","0.020","0.9","1.1"
"3012A20","공주1","2022/01/17","3회차","127°7'27.58""","36°27'59.19""","11:20","13.8","1.8","6.0","5.374","0.030","4.1","1.6"
"3012A32","금강","2022/01/17","3회차","127°6'.1""","36°27'52.7""","10:30","13.5","1.1","6.0","5.307","0.029","4.2","2.0"
"3008A40","대청댐","2022/01/17","3회차","127°28'35.5""","36°22'16.2""","13:40","11.3","0.6","3.7","1.225","0.007","2.6","1.2"
"3012A42","부여","2022/01/17","3회차","126°56'39.9""","36°19'19.5""","10:50","","","","","","",""
"3101A70","남원천","2022/01/18","1회차","126°46'35.94""","36°51'31.43""","11:20","12.8","2.0","5.5","7.831","0.109","3.9","3.1"
"3201A20","당진천2","2022/01/18","1회차","126°37'45.6""","36°56'29.4""","10:33","13.1","1.3","5.3","6.389","0.087","2.6","2.3"
"3008A52","대청","2022/01/18","1회차","127°28'30.32""","36°28'33.27""","10:20","11.6","0.4","3.4","1.229","0.006","2.6","1.0"
"3011A53","무심천1","2022/01/18","1회차","127°30'6.27""","36°35'6.1""","11:40","14.5","1.0","2.9","3.278","0.091","1.3","1.5"
"3011A65","무심천3","2022/01/18","1회차","127°27'16.1""","36°40'30.8""","12:40","13.5","7.2","5.8","4.231","0.150","3.6","3.4"
"3011A15","미호강2","2022/01/18","1회차","127°27'41.89""","36°56'10.41""","10:30","13.9","3.6","6.5","7.969","0.211","3.7","3.8"
"3011A40","미호강5","2022/01/18","1회차","127°30'34.8""","36°46'19.7""","10:00","15.9","1.2","5.0","5.074","0.084","3.4","2.3"
"3011A84","미호강9","2022/01/18","1회차","127°18'59.57""","36°34'55.88""","15:00","14.2","2.1","7.1","8.462","0.056","5.3","2.5"
"3010A30","백천","2022/01/18","1회차","127°21'41.41""","36°31'33.81""","12:20","13.8","1.0","2.9","2.639","0.039","1.4","2.9"
"3011A78","병천천1","2022/01/18","1회차","127°19'33.72""","36°43'27.09""","12:40","13.7","2.1","5.8","5.644","0.128","3.6","2.5"
"3011A43","보강천1","2022/01/18","1회차","127°34'49.96""","36°47'12.95""","12:20","14.4","1.1","3.7","3.865","0.098","1.8","3.6"
"3011A68","석남천","2022/01/18","1회차","127°23'17.65""","36°39'34.28""","14:40","10.4","2.4","5.2","14.549","0.021","3.7","2.6"
"3011A48","성암천","2022/01/18","1회차","127°27'39.63""","36°44'42.04""","10:40","13.9","2.2","4.5","2.983","0.033","2.3","3.9"
"3010A15","세종1","2022/01/18","1회차","127°23'23.41""","36°29'44.91""","14:40","12.2","0.8","5.2","4.493","0.032","4.0","1.8"
